SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,L,A,B,X,Y,Z
1,100,0,0,0,58.39,-21.98,-27.85,20.55,26.38,39.23
2,0,100,0,0,54.93,43.8,-1.45,32.94,22.86,19.53
3,0,0,100,0,78.82,-2.32,59.54,51.78,54.62,11.58
4,100,100,0,0,42.63,6.71,-22.43,13.47,12.91,19.43
5,100,0,100,0,53.77,-31.96,15.46,14.98,21.76,11.88
6,0,100,100,0,52.42,41.31,23.69,29.32,20.52,8.64
7,100,100,100,0,40.48,-0.45,-0.09,11.07,11.55,9.55
8,70,70,0,0,48.29,7.72,-20.24,17.82,17.02,23.22
9,70,0,70,0,60.14,-25.66,15,21.36,28.28,16.21
10,0,70,70,0,58.13,32.08,22.88,33.52,26.09,11.91
11,40,40,0,0,57.69,6.23,-15.22,26.2,25.64,29.7
12,0,40,40,0,65.88,20.62,19.55,40.2,35.17,18.55
13,40,40,40,0,56.28,2.5,4.18,23.89,24.19,18.01
14,40,0,40,0,67.58,-17.17,12.11,31.16,37.41,23.72
15,20,20,0,0,67.98,3.85,-8.26,37.76,37.94,36.97
16,20,0,20,0,74.14,-9.39,8.49,42.04,46.92,32.7
17,0,20,20,0,73.2,10.81,13.75,47.64,45.47,28.32
18,100,0,0,100,34.33,-3.9,-3.31,7.46,8.17,7.54
19,0,100,0,100,34.29,11.69,3.45,9.2,8.15,5.95
20,0,0,100,100,40.04,-0.55,15.4,10.8,11.27,5.52
21,100,100,0,100,32.49,3.26,-3.9,7.38,7.3,6.91
22,100,0,100,100,36.19,-9.56,5.49,7.71,9.11,6.22
23,0,100,100,100,35.48,12.33,8.71,9.91,8.74,5.29
24,100,100,100,100,32.82,0.33,1.67,7.22,7.45,5.79
25,0,0,0,100,36.68,1.27,4.31,9.18,9.37,6.68
26,0,0,0,0,82.61,-0.06,3.02,59.21,61.44,48.02
27,90,0,0,0,60.08,-20.8,-25.86,22.34,28.21,39.92
28,80,0,0,0,61.79,-19.49,-23.8,24.3,30.16,40.61
29,70,0,0,0,63.58,-18.02,-21.59,26.48,32.29,41.29
30,60,0,0,0,65.43,-16.48,-19.25,28.87,34.59,41.96
31,50,0,0,0,67.47,-14.69,-16.65,31.7,37.26,42.69
32,40,0,0,0,69.7,-12.65,-13.82,35.02,40.32,43.5
33,30,0,0,0,72.39,-10.13,-10.31,39.34,44.23,44.4
34,25,0,0,0,73.81,-8.76,-8.45,41.77,46.4,44.89
35,20,0,0,0,75.28,-7.33,-6.53,44.4,48.73,45.41
36,15,0,0,0,77.04,-5.6,-4.25,47.69,51.6,46.03
37,10,0,0,0,78.84,-3.84,-1.91,51.22,54.65,46.68
38,7,0,0,0,79.93,-2.76,-0.49,53.45,56.57,47.07
39,3,0,0,0,81.46,-1.22,1.51,56.69,59.31,47.61
40,0,90,0,0,56.58,40.72,-1.96,34.09,24.49,21.17
41,0,80,0,0,58.35,37.52,-2.32,35.38,26.33,22.92
42,0,70,0,0,60.3,34.12,-2.48,36.9,28.46,24.83
43,0,60,0,0,62.41,30.58,-2.44,38.61,30.88,26.88
44,0,50,0,0,64.84,26.65,-2.15,40.7,33.84,29.23
45,0,40,0,0,67.55,22.37,-1.64,43.16,37.36,31.89
46,0,30,0,0,70.79,17.31,-0.79,46.25,41.88,35.09
47,0,25,0,0,72.48,14.67,-0.31,47.92,44.38,36.84
48,0,20,0,0,74.23,11.98,0.19,49.7,47.06,38.68
49,0,15,0,0,76.29,8.97,0.84,51.92,50.36,40.89
50,0,10,0,0,78.35,6.02,1.51,54.22,53.81,43.16
51,0,7,0,0,79.59,4.26,1.93,55.64,55.95,44.55
52,0,3,0,0,81.31,1.8,2.55,57.66,59.04,46.51
53,0,0,90,0,79,-2.6,55.18,51.96,54.93,13.21
54,0,0,80,0,79.2,-2.81,50.79,52.21,55.28,15.02
55,0,0,70,0,79.44,-2.91,46.28,52.56,55.69,17.06
56,0,0,60,0,79.69,-2.91,41.71,52.99,56.14,19.32
57,0,0,50,0,80,-2.79,36.78,53.54,56.67,22
58,0,0,40,0,80.34,-2.58,31.48,54.2,57.28,25.16
59,0,0,30,0,80.75,-2.2,25.24,55.07,58.03,29.26
60,0,0,25,0,80.99,-1.96,21.96,55.56,58.44,31.6
61,0,0,20,0,81.23,-1.69,18.58,56.1,58.89,34.15
62,0,0,15,0,81.54,-1.35,14.74,56.78,59.46,37.24
63,0,0,10,0,81.87,-0.97,10.92,57.52,60.06,40.54
64,0,0,7,0,82.08,-0.73,8.62,57.98,60.44,42.62
